,SPY,XLB,XLE,XLF,XLI,XLK,XLP,XLU,XLV,XLY
2014-10-24,0.9640843686325941,0.952164564228139,1.2181379314414431,1.0454046951479903,1.104856534369352,0.9532138167618935,0.5860133273029374,0.5266503812108962,1.0569896522106252,1.0133970548394933
2014-10-27,0.9634507475314199,0.9627217615798309,1.2243364623572726,1.0411981102291559,1.102002953529323,0.9539291608817765,0.5856227772155895,0.530914552660879,1.0517973163192276,1.0142414580629346
2014-10-28,0.9649541254400676,0.9602029257728474,1.247241428926139,1.0288767252779256,1.1120543968349212,0.9625917127229823,0.5900878117076874,0.5403166873364867,1.0479928832272645,1.0055353396721634
2014-10-29,0.9658247124160027,0.9525123416103399,1.2313560206491423,1.0321765121750381,1.1080363778558415,0.964039721466677,0.5885100928597716,0.5507807924249007,1.0591742360647163,1.0136154168680507
2014-10-30,0.9664860910925461,0.9486876210492572,1.2241709019370959,1.0397790665259332,1.1132032998478536,0.9632220076871825,0.5946594454386801,0.5624641319538581,1.0563039003616401,1.0093736739577674
2014-10-31,0.9662141684184278,0.9719291566900541,1.2412993210388226,1.0314091293486274,1.1020711596168902,0.974493783311606,0.5945434030236426,0.5408246970877992,1.0365553822640483,1.0033745316555327
2014-11-03,0.9661634458314645,0.9737224373053304,1.2431954999283739,1.0305206318346798,1.1022219130471622,0.9732663163979834,0.5939055567360526,0.5391223287920892,1.0377155610404487,1.0033959173886045
2014-11-04,0.9666442852045134,0.977720494834999,1.2551709950878838,1.0282241993322054,1.1013288246447104,0.9709439746693229,0.5880249687221252,0.5391458227522209,1.0366690119293702,1.011214527988119
2014-11-05,0.9684810079692946,0.991979052204021,1.2792359643068865,1.0224411892750722,1.1028203165164976,0.9644436116842816,0.5961777349434679,0.5772294172236834,1.0260493455123658,1.0082396408849936
2014-11-06,0.9684945121952696,0.9940401932259073,1.2839297531219376,1.0218034704845762,1.1043750209448462,0.9622754059223373,0.5959281009159744,0.5637169691316881,1.0269267995450269,1.0100089881347751
2014-11-07,0.969204160447632,0.9954178769217499,1.29396564229461,1.0183686778049252,1.1022839006499394,0.9642093048132091,0.5950110042757514,0.5876419773240819,1.0221154434435187,1.005958776751472
2014-11-10,0.9699187692076294,0.9924743780186,1.2943516095670786,1.0182345442273417,1.101565408222632,0.9691710443110654,0.5961144260092557,0.5893067067487672,1.018504976022981,1.0060221529291116
2014-11-11,0.9704352886365226,0.996255236420114,1.2995458877985302,1.015248927797835,1.1033486024582047,0.9682936880777513,0.5977549538107562,0.5935357330463542,1.0190478553169144,1.0047653393237677
2014-11-12,0.9709163652235281,0.9965622526291086,1.2981384130116889,1.0170938444307134,1.1057854194977692,0.9680548441000417,0.5975161590980073,0.6008065237906122,1.021543339468552,0.9985647157345664
2014-11-13,0.9708010178037461,0.9969394189497673,1.3017611126789623,1.0142142168102684,1.1064611678647673,0.9669160304477371,0.5965827041506473,0.6134565894156326,1.0272108193066538,0.990501016576633
2014-11-14,0.9706537041503895,0.9978571855942994,1.3030075805762982,1.013455796343562,1.1078370243022302,0.9692384288173191,0.5947536933382976,0.6100284805262987,1.0243444020572252,0.9918233198173132
2014-11-17,0.9702065711081468,1.0013916610692162,1.2987335835765277,1.012077399293917,1.107178711867172,0.9672250846469402,0.5948739883092016,0.6215659674343265,1.0265549029919558,0.9930707096510302
2014-11-18,0.9707196838616063,1.0052608721747411,1.2992867589278532,1.0093753496421478,1.1069637107958705,0.9655053528547213,0.5990306081748625,0.6238093866661046,1.0325679954957123,0.9907365522098212
2014-11-19,0.9714023739424305,1.0017943519684032,1.2814207491859673,1.0163049916349958,1.1067587372373986,0.9630963987379212,0.6021740232702627,0.628937110604985,1.0445539948683025,0.9877007324857384
2014-11-20,0.9708896851877986,1.0232963731488427,1.28816340789513,1.0091298605986803,1.1006371873158216,0.9611452214948031,0.597981185936095,0.6154212808742417,1.043785829894544,0.9951678883753906
2014-11-21,0.9711201065477678,1.0376530100349561,1.3098878905832807,1.0056448513876166,1.1112626533995424,0.9562419096345912,0.5893265607307543,0.6020627586804485,1.0353972640400153,0.9967989587079434
2014-11-24,0.9712849038937076,1.0361439479305166,1.3115513991378425,1.0061847529663992,1.112110069128595,0.9570381411684385,0.5868477287068978,0.600368429014055,1.0343023811853387,0.9967177340953907
2014-11-25,0.9715912065351248,1.0392220657012985,1.312309039364647,1.0072335742530254,1.1126527395660573,0.9545139438399131,0.5899411281526372,0.6025473763579672,1.0324233505892497,0.9967322239334895
2014-11-26,0.9718711973608742,1.0405151541042161,1.3174172735448986,1.008757405301053,1.1092655559487885,0.9543289145691766,0.5885115002226246,0.6054288522815306,1.033356575218038,0.9945765595195049
2014-11-28,0.9717590786676571,1.0759537069142855,1.4066205495268,0.994457262024612,1.1176379537781795,0.9440055360746801,0.5710415019929344,0.5754984244055317,1.0348204781277925,0.9709219988654821
2014-12-01,0.9711273170386524,1.0855317520192078,1.3907048206053318,0.9943331552212622,1.1248919091923124,0.9509581779113118,0.5745302568506736,0.5688431595447534,1.0277272437828315,0.9669879232763823
2014-12-02,0.9719604482022322,1.0844938893471703,1.3929945440286873,0.9979123059816845,1.1266420258200136,0.9433810082325288,0.5764698121732531,0.5722243029002887,1.0356489192620524,0.9642612197857974
2014-12-03,0.9716650939465411,1.0932488987701472,1.4120264210688382,0.9967959906739237,1.122279215307223,0.9443000821102413,0.5650273574272122,0.5617414890025209,1.0399309115846567,0.9613599413904209
