,0
2010-06-21,0.0010179052240721726
2010-06-22,-0.0010228613564760118
2010-06-23,-0.00029631834557463125
2010-06-24,-0.000273331642113437
2010-06-25,0.0009371111338280025
2010-06-28,-0.0009391047170543751
2010-06-29,-0.00035981585423115053
2010-06-30,0.00019702607520168287
2010-07-01,-0.0009571355613067324
2010-07-02,-0.0009653616538757024
2010-07-06,0.0004819061753893782
2010-07-07,-0.000270151030250243
2010-07-08,0.0007413098381443325
2010-07-09,0.00035007764058265275
2010-07-12,8.0274006634446e-05
2010-07-13,-0.00016173012747852135
2010-07-14,4.8838573131569245e-05
2010-07-15,-0.0011418401253287095
2010-07-16,0.0003632116034536191
2010-07-19,0.0003257336154188946
2010-07-20,-0.00023418885141826724
2010-07-21,-0.0007612356367551268
2010-07-22,0.00037962994336981915
2010-07-23,0.00028609071574654636
2010-07-26,-0.0005970928681587936
2010-07-27,0.0017419280218630073
2010-07-28,0.00038678032854588297
2010-07-29,-0.0008450285891827905
2010-07-30,-0.0007432608846346431
2010-08-02,0.000990891132323167
2010-08-03,5.0943975207004034e-05
2010-08-04,-6.996026197365283e-05
2010-08-05,-2.2260142717891616e-05
2010-08-06,-0.0007728756708554807
2010-08-09,5.308021012897894e-05
2010-08-10,0.0006838174718053914
2010-08-11,-0.0005004719683494585
2010-08-12,-0.0012983757815071342
2010-08-13,0.000597870619817354
2010-08-16,-0.00016388737624114445
2010-08-17,5.621273953808521e-05
2010-08-18,-0.00016911394234215768
2010-08-19,-0.0014849289576547367
2010-08-20,-0.00011142971561943537
